Data;Hora UTC; Precipitacao;Radiacao;Temperatura;Temperatura Maxima;Temperatura Minima;Umidade do Ar;Vento Velocidade
2008-01-01;00:00;0;-9999;23.9;24,6;23,8;46;2
2008-01-01;01:00;0;-9999;21.3;23,9;20,7;57;1,1
2008-01-01;02:00;0;-9999;19.7;21,9;19,6;64;0
2008-01-01;03:00;0;-9999;21.1;22,5;19,7;59;1,3
2008-01-01;04:00;0;-9999;19.5;21,1;18,3;66;,9
2008-01-01;05:00;0;-9999;18.2;19,5;17,7;70;0
2008-01-01;06:00;0;-9999;18.1;20,8;18,1;69;1,2
2008-01-01;07:00;0;-9999;18.0;18,1;16,4;71;1,5
2008-01-01;08:00;0;-9999;16.9;18;16,5;74;1,2
2008-01-01;09:00;0;2,3;17.7;18,2;16,5;70;1,1
2008-01-01;10:00;0;402,9;21.5;21,5;17,3;61;,7
2008-01-01;11:00;0;1277,2;23.8;23,9;21,5;55;1,7
2008-01-01;12:00;0;2194,8;26.7;26,7;23,9;43;1,1
2008-01-01;13:00;0;2936,8;27.5;27,5;26,6;36;1,4
2008-01-01;14:00;0;3129,4;27.7;28;26,5;34;1,9
2008-01-01;15:00;0;3753,7;28.4;28,6;26,9;33;2,6
2008-01-01;16:00;0;3043,4;28.9;28,9;27,5;35;2,3
2008-01-01;17:00;0;3013,3;29.7;30,1;27,8;30;2,3
2008-01-01;18:00;0;2102,5;28.7;30;28,3;28;3,5
2008-01-01;19:00;0;2030,2;29.3;29,7;28,2;27;2,2
2008-01-01;20:00;0;1707,2;27.9;29,9;27,9;34;4,1
2008-01-01;21:00;0;768;27.7;28,5;27,7;35;3,2
2008-01-01;22:00;0;72,6;26.4;27,7;26,4;38;1,4
2008-01-01;23:00;0;-9999;25.4;26,4;25,4;42;1,4
2008-01-02;00:00;0;-9999;24.7;25,9;24,5;45;1,5
2008-01-02;01:00;0;-9999;24.3;25;24,2;46;1,3
2008-01-02;02:00;0;-9999;24.0;24,5;23,7;47;1,4
2008-01-02;03:00;0;-9999;22.9;24,1;22,4;49;1,3
2008-01-02;04:00;0;-9999;22.1;23,2;22,1;53;,9
2008-01-02;05:00;0;-9999;19.2;22;19,2;66;0
