Data;Hora UTC; Precipitacao;Radiacao;Temperatura;Temperatura Maxima;Temperatura Minima;Umidade do Ar;Vento Velocidade
2009-01-01;00:00;0.0;3.7;22.4;22.9;22.2;84.0;0.8
2009-01-01;01:00;0.0;3.7;23.2;23.2;21.7;77.0;1.3
2009-01-01;02:00;0.0;3.7;22.4;23.3;21.6;83.0;0.9
2009-01-01;03:00;0.0;3.7;21.9;22.5;21.2;85.0;1.1
2009-01-01;04:00;0.0;3.7;22.3;22.5;21.7;79.0;1.3
2009-01-01;05:00;0.0;3.7;21.6;22.3;21.6;84.0;0.9
2009-01-01;06:00;0.0;3.7;21.5;21.8;21.4;85.0;1.5
2009-01-01;07:00;0.0;3.7;20.1;21.5;19.9;86.0;1.9
2009-01-01;08:00;0.0;3.7;19.3;20.2;19.3;90.0;1.8
2009-01-01;09:00;0.0;3.7;19.4;19.6;19.3;89.0;1.0
2009-01-01;10:00;0.0;271.4;20.6;20.6;19.4;82.0;1.8
2009-01-01;11:00;0.0;776.3;21.3;21.3;20.5;79.0;0.9
2009-01-01;12:00;0.0;1314.3;23.5;23.5;21.3;67.0;1.3
2009-01-01;13:00;0.0;2445.1;24.0;25.0;23.5;64.0;2.5
2009-01-01;14:00;0.0;3051.4;25.9;26.3;23.9;62.0;2.2
2009-01-01;15:00;0.0;3586.1;27.2;27.3;25.5;54.0;2.2
2009-01-01;16:00;0.0;3037.3;27.0;28.3;27.0;53.0;2.8
2009-01-01;17:00;0.0;3487.7;28.3;28.7;27.0;48.0;2.0
2009-01-01;18:00;0.2;3483.1;29.0;29.9;28.3;45.0;2.3
2009-01-01;19:00;0.0;1919.4;28.7;29.5;27.9;48.0;2.1
2009-01-01;20:00;0.0;887.1;27.6;29.1;27.6;52.0;1.6
2009-01-01;21:00;11.0;41.2;19.3;27.6;19.3;92.0;7.4
2009-01-01;22:00;10.6;11.1;20.4;20.5;18.7;91.0;1.9
2009-01-01;23:00;0.0;6.2;20.6;20.7;20.3;90.0;2.2
2009-01-02;00:00;0.0;1.3;21.3;21.3;20.3;85.0;1.2
2009-01-02;01:00;0.4;0.5;20.5;21.9;20.4;88.0;3.9
2009-01-02;02:00;0.0;3.0;20.0;20.5;19.7;85.0;1.8
2009-01-02;03:00;0.0;4.2;19.5;20.4;19.5;91.0;1.2
2009-01-02;04:00;0.4;4.8;19.5;19.9;19.4;92.0;0.8
2009-01-02;05:00;0.0;5.2;19.7;20.5;19.4;87.0;1.1
2009-01-02;06:00;0.0;5.4;19.8;20.5;19.6;87.0;1.6
2009-01-02;07:00;0.0;5.4;20.1;20.2;19.7;85.0;1.6
2009-01-02;08:00;0.0;5.4;19.3;20.2;19.3;89.0;0.6
2009-01-02;09:00;0.0;5.5;19.0;19.6;18.8;90.0;0.4
2009-01-02;10:00;0.0;365.5;21.8;22.1;18.9;76.0;1.1
2009-01-02;11:00;0.0;1302.2;24.2;24.2;21.8;70.0;1.8
2009-01-02;12:00;0.0;2132.9;25.1;25.1;24.1;68.0;2.1
2009-01-02;13:00;0.0;2847.0;26.1;26.2;25.0;69.0;2.7
2009-01-02;14:00;0.0;2099.6;25.4;26.9;25.4;65.0;2.0
2009-01-02;15:00;0.0;3411.8;28.7;28.9;25.4;50.0;2.9
2009-01-02;16:00;0.0;2160.5;28.0;29.2;27.7;48.0;2.9
2009-01-02;17:00;0.0;2491.9;29.1;29.7;27.9;44.0;3.0
2009-01-02;18:00;0.0;2584.7;30.2;30.4;28.3;42.0;3.5
2009-01-02;19:00;0.0;1723.3;28.1;30.2;28.0;51.0;3.2
2009-01-02;20:00;0.0;1643.8;28.6;29.2;28.1;50.0;4.0
2009-01-02;21:00;0.0;567.8;27.0;28.7;26.9;55.0;3.3
2009-01-02;22:00;0.0;135.6;25.5;27.1;25.5;62.0;2.5
2009-01-02;23:00;0.0;69.6;24.0;25.5;24.0;73.0;2.9
2009-01-03;00:00;0.0;36.6;22.7;23.9;22.7;78.0;2.3
2009-01-03;01:00;0.0;20.2;22.2;22.7;22.2;79.0;2.6
2009-01-03;02:00;0.0;12.0;22.5;22.5;22.0;77.0;2.8
2009-01-03;03:00;0.0;7.8;21.8;22.6;21.5;78.0;2.1
2009-01-03;04:00;0.0;5.8;21.2;21.9;21.2;81.0;2.6
2009-01-03;05:00;0.0;4.8;21.2;21.4;21.0;82.0;2.6
2009-01-03;06:00;0.0;4.2;20.6;21.4;20.6;85.0;2.0
2009-01-03;07:00;0.0;4.0;20.4;20.6;19.9;87.0;1.8
2009-01-03;08:00;0.0;3.8;19.9;20.4;19.8;89.0;1.1
2009-01-03;09:00;0.0;3.7;19.8;19.9;19.4;90.0;1.3
2009-01-03;10:00;0.0;292.7;21.0;21.0;19.8;86.0;1.7
2009-01-03;11:00;0.0;1100.1;23.1;23.1;21.0;80.0;2.3
2009-01-03;12:00;0.0;1788.5;25.7;25.7;22.9;65.0;2.5
2009-01-03;13:00;1.8;694.5;21.1;25.7;21.1;81.0;3.8
2009-01-03;14:00;0.4;1002.0;22.0;22.9;20.9;82.0;2.8
2009-01-03;15:00;0.0;1359.9;23.0;23.0;21.7;75.0;3.0
2009-01-03;16:00;0.0;2902.0;26.0;26.0;23.0;65.0;4.1
2009-01-03;17:00;0.0;2495.6;24.1;26.7;24.1;71.0;5.8
2009-01-03;18:00;0.0;2741.6;24.1;25.3;23.7;72.0;4.0
2009-01-03;19:00;0.0;2917.0;24.4;25.6;24.1;65.0;4.4
2009-01-03;20:00;0.0;1274.8;24.1;24.9;24.1;69.0;3.7
2009-01-03;21:00;0.0;463.7;23.1;24.1;23.1;73.0;3.2
2009-01-03;22:00;0.0;67.8;22.1;23.1;22.0;78.0;2.5
2009-01-03;23:00;0.0;36.0;21.4;22.1;21.3;84.0;1.8
2009-01-04;00:00;0.0;20.1;21.1;21.5;21.1;86.0;1.7
2009-01-04;01:00;0.0;12.2;20.6;21.3;20.6;88.0;1.7
2009-01-04;02:00;0.0;8.2;20.1;20.6;20.0;92.0;1.4
2009-01-04;03:00;0.0;6.2;20.0;20.2;19.9;91.0;1.6
2009-01-04;04:00;0.0;5.2;19.8;20.3;19.8;90.0;1.7
2009-01-04;05:00;0.0;4.7;19.7;20.0;19.6;89.0;2.6
2009-01-04;06:00;0.0;4.4;19.4;19.9;19.3;90.0;2.0
2009-01-04;07:00;0.0;4.3;19.2;19.5;19.1;92.0;2.9
2009-01-04;08:00;0.0;4.2;19.0;19.3;18.9;92.0;2.3
2009-01-04;09:00;0.0;4.2;19.3;19.5;18.9;91.0;2.4
2009-01-04;10:00;0.0;202.5;19.8;19.8;19.1;90.0;1.7
2009-01-04;11:00;0.0;555.7;20.8;20.8;19.8;85.0;2.8
2009-01-04;12:00;0.0;1288.1;22.6;22.6;20.8;76.0;3.7
2009-01-04;13:00;0.0;2280.1;23.3;24.0;22.5;73.0;3.9
2009-01-04;14:00;0.0;2176.2;24.4;24.9;23.2;70.0;4.0
2009-01-04;15:00;0.0;2826.3;25.0;25.3;23.8;67.0;4.4
